time	V(probe_1)	V(probe_2)	V(probe_3)
5.758789062499998e-09	1.391746e-03	1.118247e-01	3.082249e-03
5.768554687499998e-09	1.425869e-03	1.136896e-01	3.143773e-03
5.778320312499998e-09	1.462265e-03	1.154821e-01	3.193840e-03
5.788085937499998e-09	1.499170e-03	1.172030e-01	3.231626e-03
5.797851562499998e-09	1.534722e-03	1.188567e-01	3.256325e-03
5.807617187499998e-09	1.567075e-03	1.204485e-01	3.267074e-03
5.817382812499997e-09	1.594700e-03	1.219828e-01	3.262971e-03
5.827148437499997e-09	1.616648e-03	1.234612e-01	3.243163e-03
5.836914062499997e-09	1.632618e-03	1.248822e-01	3.207023e-03
5.846679687499997e-09	1.642763e-03	1.262404e-01	3.154361e-03
5.856445312499997e-09	1.647366e-03	1.275288e-01	3.085634e-03
5.866210937499997e-09	1.646563e-03	1.287399e-01	3.002096e-03
5.875976562499997e-09	1.640241e-03	1.298681e-01	2.905863e-03
5.885742187499997e-09	1.628122e-03	1.309114e-01	2.799842e-03
5.895507812499997e-09	1.609914e-03	1.318731e-01	2.687541e-03
5.905273437499997e-09	1.585456e-03	1.327619e-01	2.572762e-03
5.915039062499996e-09	1.554772e-03	1.335910e-01	2.459232e-03
5.924804687499996e-09	1.518084e-03	1.343767e-01	2.350223e-03
5.934570312499996e-09	1.475828e-03	1.351359e-01	2.248216e-03
5.944335937499996e-09	1.428708e-03	1.358841e-01	2.154683e-03
5.954101562499996e-09	1.377757e-03	1.366326e-01	2.069993e-03
5.963867187499996e-09	1.324351e-03	1.373874e-01	1.993488e-03
5.973632812499996e-09	1.270122e-03	1.381483e-01	1.923690e-03
5.983398437499996e-09	1.216768e-03	1.389092e-01	1.858606e-03
5.993164062499996e-09	1.165816e-03	1.396597e-01	1.796094e-03
6.002929687499996e-09	1.118403e-03	1.403868e-01	1.734199e-03
6.012695312499996e-09	1.075144e-03	1.410776e-01	1.671428e-03
6.022460937499995e-09	1.036102e-03	1.417208e-01	1.606917e-03
6.032226562499995e-09	1.000839e-03	1.423094e-01	1.540458e-03
6.041992187499995e-09	9.685258e-04	1.428406e-01	1.472416e-03
6.051757812499995e-09	9.380798e-04	1.433164e-01	1.403538e-03
6.061523437499995e-09	9.083161e-04	1.437427e-01	1.334723e-03
6.071289062499995e-09	8.781136e-04	1.441280e-01	1.266792e-03
6.081054687499995e-09	8.465746e-04	1.444813e-01	1.200301e-03
6.090820312499995e-09	8.131562e-04	1.448108e-01	1.135454e-03
6.100585937499995e-09	7.777384e-04	1.451224e-01	1.072103e-03
6.110351562499995e-09	7.406117e-04	1.454193e-01	1.009855e-03
6.120117187499995e-09	7.023867e-04	1.457016e-01	9.482382e-04
6.129882812499994e-09	6.638498e-04	1.459673e-01	8.869023e-04
6.139648437499994e-09	6.258051e-04	1.462134e-01	8.257932e-04
6.149414062499994e-09	5.889380e-04	1.464370e-01	7.652722e-04
6.159179687499994e-09	5.537236e-04	1.466367e-01	7.061423e-04
6.168945312499994e-09	5.203887e-04	1.468135e-01	6.495758e-04
6.178710937499994e-09	4.889242e-04	1.469709e-01	5.969510e-04
6.188476562499994e-09	4.591387e-04	1.471149e-01	5.496292e-04
6.198242187499994e-09	4.307423e-04	1.472529e-01	5.087126e-04
6.208007812499994e-09	4.034443e-04	1.473922e-01	4.748312e-04
6.217773437499994e-09	3.770491e-04	1.475393e-01	4.479982e-04
6.227539062499993e-09	3.515265e-04	1.476982e-01	4.275653e-04
6.237304687499993e-09	3.270409e-04	1.478698e-01	4.122869e-04
6.247070312499993e-09	3.039292e-04	1.480515e-01	4.004836e-04
6.256835937499993e-09	2.826315e-04	1.482379e-01	3.902768e-04
6.266601562499993e-09	2.635906e-04	1.484213e-01	3.798536e-04
6.276367187499993e-09	2.471433e-04	1.485936e-01	3.677155e-04
6.286132812499993e-09	2.334288e-04	1.487470e-01	3.528682e-04
6.295898437499993e-09	2.223326e-04	1.488758e-01	3.349232e-04
6.305664062499993e-09	2.134754e-04	1.489770e-01	3.140961e-04
6.315429687499993e-09	2.062506e-04	1.490510e-01	2.911071e-04
6.325195312499993e-09	1.999012e-04	1.491011e-01	2.670069e-04
6.334960937499992e-09	1.936264e-04	1.491329e-01	2.429628e-04
6.344726562499992e-09	1.866967e-04	1.491535e-01	2.200468e-04
6.354492187499992e-09	1.785611e-04	1.491699e-01	1.990623e-04
6.364257812499992e-09	1.689255e-04	1.491881e-01	1.804408e-04
6.374023437499992e-09	1.577889e-04	1.492119e-01	1.642202e-04
6.383789062499992e-09	1.454305e-04	1.492433e-01	1.501042e-04
6.393554687499992e-09	1.323499e-04	1.492815e-01	1.375838e-04
6.403320312499992e-09	1.191748e-04	1.493242e-01	1.260915e-04
6.413085937499992e-09	1.065523e-04	1.493681e-01	1.151542e-04
6.422851562499992e-09	9.504429e-05	1.494097e-01	1.045125e-04
6.432617187499992e-09	8.504637e-05	1.494463e-01	9.418189e-05
6.442382812499991e-09	7.674090e-05	1.494768e-01	8.444513e-05
6.452148437499991e-09	7.009116e-05	1.495015e-01	7.577925e-05
6.461914062499991e-09	6.487402e-05	1.495224e-01	6.873396e-05
6.471679687499991e-09	6.074248e-05	1.495425e-01	6.378838e-05
6.481445312499991e-09	5.730484e-05	1.495652e-01	6.121690e-05
6.491210937499991e-09	5.420408e-05	1.495933e-01	6.099282e-05
6.500976562499991e-09	5.118250e-05	1.496285e-01	6.275030e-05
6.510742187499991e-09	4.811933e-05	1.496707e-01	6.581357e-05
6.520507812499991e-09	4.503557e-05	1.497183e-01	6.928858e-05
6.530273437499991e-09	4.206684e-05	1.497679e-01	7.220011e-05
6.540039062499990e-09	3.941195e-05	1.498154e-01	7.364850e-05
6.549804687499990e-09	3.726930e-05	1.498564e-01	7.295646e-05
6.559570312499990e-09	3.577536e-05	1.498871e-01	6.977870e-05
6.569335937499990e-09	3.495835e-05	1.499049e-01	6.415437e-05
6.579101562499990e-09	3.471664e-05	1.499092e-01	5.649351e-05
6.588867187499990e-09	3.482605e-05	1.499012e-01	4.750089e-05
6.598632812499990e-09	3.497441e-05	1.498839e-01	3.805257e-05
6.608398437499990e-09	3.481623e-05	1.498615e-01	2.904868e-05
